Starting up
4941 x^12+x^9+x^8+x^6+x^3+x^2+1
5909 x^12+x^10+x^9+x^8+x^4+x^2+1
6683 x^12+x^11+x^9+x^4+x^3+x+1
7191 x^12+x^11+x^10+x^4+x^2+x+1
7701 x^12+x^11+x^10+x^9+x^4+x^2+1
4411 x^12+x^8+x^5+x^4+x^3+x+1
4921 x^12+x^9+x^8+x^5+x^4+x^3+1
6427 x^12+x^11+x^8+x^4+x^3+x+1
7431 x^12+x^11+x^10+x^8+x^2+x+1
4485 x^12+x^8+x^7+x^2+1
5033 x^12+x^9+x^8+x^7+x^5+x^3+1
5523 x^12+x^10+x^8+x^7+x^4+x+1
6631 x^12+x^11+x^8+x^7+x^6+x^5+x^2+x+1
7105 x^12+x^11+x^9+x^8+x^7+x^6+1
7727 x^12+x^11+x^10+x^9+x^5+x^3+x^2+x+1
4879 x^12+x^9+x^8+x^3+x^2+x+1
6005 x^12+x^10+x^9+x^8+x^6+x^5+x^4+x^2+1
6577 x^12+x^11+x^8+x^7+x^5+x^4+1
7079 x^12+x^11+x^9+x^8+x^7+x^5+x^2+x+1
7561 x^12+x^11+x^10+x^8+x^7+x^3+1
4331 x^12+x^7+x^6+x^5+x^3+x+1
5391 x^12+x^10+x^8+x^3+x^2+x+1
6079 x^12+x^10+x^9+x^8+x^7+x^5+x^4+x^3+x^2+x+1
7541 x^12+x^11+x^10+x^8+x^6+x^5+x^4+x^2+1
4459 x^12+x^8+x^6+x^5+x^3+x+1
4793 x^12+x^9+x^7+x^5+x^4+x^3+1
7123 x^12+x^11+x^9+x^8+x^7+x^6+x^4+x+1
7783 x^12+x^11+x^10+x^9+x^6+x^5+x^2+x+1
4305 x^12+x^7+x^6+x^4+1
5017 x^12+x^9+x^8+x^7+x^4+x^3+1
4575 x^12+x^8+x^7+x^6+x^4+x^3+x^2+x+1
5287 x^12+x^10+x^7+x^5+x^2+x+1
6383 x^12+x^11+x^7+x^6+x^5+x^3+x^2+x+1
6707 x^12+x^11+x^9+x^5+x^4+x+1
7173 x^12+x^11+x^10+x^2+1
7705 x^12+x^11+x^10+x^9+x^4+x^3+1
4383 x^12+x^8+x^4+x^3+x^2+x+1
4723 x^12+x^9+x^6+x^5+x^4+x+1
5293 x^12+x^10+x^7+x^5+x^3+x^2+1
6465 x^12+x^11+x^8+x^6+1
4669 x^12+x^9+x^5+x^4+x^3+x^2+1
7365 x^12+x^11+x^10+x^7+x^6+x^2+1
4249 x^12+x^7+x^4+x^3+1
5213 x^12+x^10+x^6+x^4+x^3+x^2+1
6589 x^12+x^11+x^8+x^7+x^5+x^4+x^3+x^2+1
7057 x^12+x^11+x^9+x^8+x^7+x^4+1
7749 x^12+x^11+x^10+x^9+x^6+x^2+1
4893 x^12+x^9+x^8+x^4+x^3+x^2+1
5641 x^12+x^10+x^9+x^3+1
7795 x^12+x^11+x^10+x^9+x^6+x^5+x^4+x+1
5331 x^12+x^10+x^7+x^6+x^4+x+1
6453 x^12+x^11+x^8+x^5+x^4+x^2+1
7491 x^12+x^11+x^10+x^8+x^6+x+1
7953 x^12+x^11+x^10+x^9+x^8+x^4+1
4711 x^12+x^9+x^6+x^5+x^2+x+1
5453 x^12+x^10+x^8+x^6+x^3+x^2+1
5957 x^12+x^10+x^9+x^8+x^6+x^2+1
6501 x^12+x^11+x^8+x^6+x^5+x^2+1
7185 x^12+x^11+x^10+x^4+1
5597 x^12+x^10+x^8+x^7+x^6+x^4+x^3+x^2+1
6761 x^12+x^11+x^9+x^6+x^5+x^3+1
7207 x^12+x^11+x^10+x^5+x^2+x+1
4801 x^12+x^9+x^7+x^6+1
5797 x^12+x^10+x^9+x^7+x^5+x^2+1
6295 x^12+x^11+x^7+x^4+x^2+x+1
6865 x^12+x^11+x^9+x^7+x^6+x^4+1
7761 x^12+x^11+x^10+x^9+x^6+x^4+1
4977 x^12+x^9+x^8+x^6+x^5+x^4+1
6231 x^12+x^11+x^6+x^4+x^2+x+1
7459 x^12+x^11+x^10+x^8+x^5+x+1
4621 x^12+x^9+x^3+x^2+1
5703 x^12+x^10+x^9+x^6+x^2+x+1
7375 x^12+x^11+x^10+x^7+x^6+x^3+x^2+x+1
7823 x^12+x^11+x^10+x^9+x^7+x^3+x^2+x+1
7245 x^12+x^11+x^10+x^6+x^3+x^2+1
4531 x^12+x^8+x^7+x^5+x^4+x+1
5199 x^12+x^10+x^6+x^3+x^2+x+1
5955 x^12+x^10+x^9+x^8+x^6+x+1
6881 x^12+x^11+x^9+x^7+x^6+x^5+1
7303 x^12+x^11+x^10+x^7+x^2+x+1
8089 x^12+x^11+x^10+x^9+x^8+x^7+x^4+x^3+1
4359 x^12+x^8+x^2+x+1
5573 x^12+x^10+x^8+x^7+x^6+x^2+1
6025 x^12+x^10+x^9+x^8+x^7+x^3+1
6539 x^12+x^11+x^8+x^7+x^3+x+1
6923 x^12+x^11+x^9+x^8+x^3+x+1
7505 x^12+x^11+x^10+x^8+x^6+x^4+1
4387 x^12+x^8+x^5+x+1
4897 x^12+x^9+x^8+x^5+1
5591 x^12+x^10+x^8+x^7+x^6+x^4+x^2+x+1
6081 x^12+x^10+x^9+x^8+x^7+x^6+1
6607 x^12+x^11+x^8+x^7+x^6+x^3+x^2+x+1
4201 x^12+x^6+x^5+x^3+1
4811 x^12+x^9+x^7+x^6+x^3+x+1
5223 x^12+x^10+x^6+x^5+x^2+x+1
6931 x^12+x^11+x^9+x^8+x^4+x+1
7411 x^12+x^11+x^10+x^7+x^6+x^5+x^4+x+1
7975 x^12+x^11+x^10+x^9+x^8+x^5+x^2+x+1
4735 x^12+x^9+x^6+x^5+x^4+x^3+x^2+x+1
5611 x^12+x^10+x^8+x^7+x^6+x^5+x^3+x+1
6061 x^12+x^10+x^9+x^8+x^7+x^5+x^3+x^2+1
6601 x^12+x^11+x^8+x^7+x^6+x^3+1
7333 x^12+x^11+x^10+x^7+x^5+x^2+1
5175 x^12+x^10+x^5+x^4+x^2+x+1
5913 x^12+x^10+x^9+x^8+x^4+x^3+1
6699 x^12+x^11+x^9+x^5+x^3+x+1
7327 x^12+x^11+x^10+x^7+x^4+x^3+x^2+x+1
7963 x^12+x^11+x^10+x^9+x^8+x^4+x^3+x+1
4449 x^12+x^8+x^6+x^5+1
5405 x^12+x^10+x^8+x^4+x^3+x^2+1
6067 x^12+x^10+x^9+x^8+x^7+x^5+x^4+x+1
6795 x^12+x^11+x^9+x^7+x^3+x+1
7907 x^12+x^11+x^10+x^9+x^7+x^6+x^5+x+1
4221 x^12+x^6+x^5+x^4+x^3+x^2+1
4927 x^12+x^9+x^8+x^5+x^4+x^3+x^2+x+1
5721 x^12+x^10+x^9+x^6+x^4+x^3+1
6523 x^12+x^11+x^8+x^6+x^5+x^4+x^3+x+1
6943 x^12+x^11+x^9+x^8+x^4+x^3+x^2+x+1
8125 x^12+x^11+x^10+x^9+x^8+x^7+x^5+x^4+x^3+x^2+1
4431 x^12+x^8+x^6+x^3+x^2+x+1
4663 x^12+x^9+x^5+x^4+x^2+x+1
7369 x^12+x^11+x^10+x^7+x^6+x^3+1
8049 x^12+x^11+x^10+x^9+x^8+x^6+x^5+x^4+1
4219 x^12+x^6+x^5+x^4+x^3+x+1
5027 x^12+x^9+x^8+x^7+x^5+x+1
5717 x^12+x^10+x^9+x^6+x^4+x^2+1
6237 x^12+x^11+x^6+x^4+x^3+x^2+1
7355 x^12+x^11+x^10+x^7+x^5+x^4+x^3+x+1
8123 x^12+x^11+x^10+x^9+x^8+x^7+x^5+x^4+x^3+x+1
4439 x^12+x^8+x^6+x^4+x^2+x+1
4569 x^12+x^8+x^7+x^6+x^4+x^3+1
5169 x^12+x^10+x^5+x^4+1
7103 x^12+x^11+x^9+x^8+x^7+x^5+x^4+x^3+x^2+x+1
8137 x^12+x^11+x^10+x^9+x^8+x^7+x^6+x^3+1
4179 x^12+x^6+x^4+x+1
5127 x^12+x^10+x^2+x+1
5821 x^12+x^10+x^9+x^7+x^5+x^4+x^3+x^2+1
6329 x^12+x^11+x^7+x^5+x^4+x^3+1
6901 x^12+x^11+x^9+x^7+x^6+x^5+x^4+x^2+1
7515 x^12+x^11+x^10+x^8+x^6+x^4+x^3+x+1
5237 x^12+x^10+x^6+x^5+x^4+x^2+1
6289 x^12+x^11+x^7+x^4+1
6999 x^12+x^11+x^9+x^8+x^6+x^4+x^2+x+1
