Starting up
2053 x^11+x^2+1
2071 x^11+x^4+x^2+x+1
2091 x^11+x^5+x^3+x+1
2093 x^11+x^5+x^3+x^2+1
2119 x^11+x^6+x^2+x+1
2147 x^11+x^6+x^5+x+1
2475 x^11+x^8+x^7+x^5+x^3+x+1
2477 x^11+x^8+x^7+x^5+x^3+x^2+1
2489 x^11+x^8+x^7+x^5+x^4+x^3+1
2503 x^11+x^8+x^7+x^6+x^2+x+1
2521 x^11+x^8+x^7+x^6+x^4+x^3+1
2533 x^11+x^8+x^7+x^6+x^5+x^2+1
2773 x^11+x^9+x^7+x^6+x^4+x^2+1
2783 x^11+x^9+x^7+x^6+x^4+x^3+x^2+x+1
2793 x^11+x^9+x^7+x^6+x^5+x^3+1
2799 x^11+x^9+x^7+x^6+x^5+x^3+x^2+x+1
2801 x^11+x^9+x^7+x^6+x^5+x^4+1
2811 x^11+x^9+x^7+x^6+x^5+x^4+x^3+x+1
2819 x^11+x^9+x^8+x+1
2825 x^11+x^9+x^8+x^3+1
2833 x^11+x^9+x^8+x^4+1
3159 x^11+x^10+x^6+x^4+x^2+x+1
3169 x^11+x^10+x^6+x^5+1
3179 x^11+x^10+x^6+x^5+x^3+x+1
3187 x^11+x^10+x^6+x^5+x^4+x+1
3205 x^11+x^10+x^7+x^2+1
3209 x^11+x^10+x^7+x^3+1
3223 x^11+x^10+x^7+x^4+x^2+x+1
3227 x^11+x^10+x^7+x^4+x^3+x+1
3229 x^11+x^10+x^7+x^4+x^3+x^2+1
3553 x^11+x^10+x^8+x^7+x^6+x^5+1
3559 x^11+x^10+x^8+x^7+x^6+x^5+x^2+x+1
3573 x^11+x^10+x^8+x^7+x^6+x^5+x^4+x^2+1
3589 x^11+x^10+x^9+x^2+1
3613 x^11+x^10+x^9+x^4+x^3+x^2+1
3617 x^11+x^10+x^9+x^5+1
3623 x^11+x^10+x^9+x^5+x^2+x+1
3627 x^11+x^10+x^9+x^5+x^3+x+1
3635 x^11+x^10+x^9+x^5+x^4+x+1
3641 x^11+x^10+x^9+x^5+x^4+x^3+1
3949 x^11+x^10+x^9+x^8+x^6+x^5+x^3+x^2+1
3957 x^11+x^10+x^9+x^8+x^6+x^5+x^4+x^2+1
3971 x^11+x^10+x^9+x^8+x^7+x+1
3985 x^11+x^10+x^9+x^8+x^7+x^4+1
3991 x^11+x^10+x^9+x^8+x^7+x^4+x^2+x+1
3995 x^11+x^10+x^9+x^8+x^7+x^4+x^3+x+1
4007 x^11+x^10+x^9+x^8+x^7+x^5+x^2+x+1
4013 x^11+x^10+x^9+x^8+x^7+x^5+x^3+x^2+1
4021 x^11+x^10+x^9+x^8+x^7+x^5+x^4+x^2+1
4045 x^11+x^10+x^9+x^8+x^7+x^6+x^3+x^2+1
2363 x^11+x^8+x^5+x^4+x^3+x+1
2365 x^11+x^8+x^5+x^4+x^3+x^2+1
2373 x^11+x^8+x^6+x^2+1
2377 x^11+x^8+x^6+x^3+1
2385 x^11+x^8+x^6+x^4+1
2395 x^11+x^8+x^6+x^4+x^3+x+1
2419 x^11+x^8+x^6+x^5+x^4+x+1
2421 x^11+x^8+x^6+x^5+x^4+x^2+1
2431 x^11+x^8+x^6+x^5+x^4+x^3+x^2+x+1
2435 x^11+x^8+x^7+x+1
2447 x^11+x^8+x^7+x^3+x^2+x+1
2867 x^11+x^9+x^8+x^5+x^4+x+1
2879 x^11+x^9+x^8+x^5+x^4+x^3+x^2+x+1
2881 x^11+x^9+x^8+x^6+1
2891 x^11+x^9+x^8+x^6+x^3+x+1
2905 x^11+x^9+x^8+x^6+x^4+x^3+1
2911 x^11+x^9+x^8+x^6+x^4+x^3+x^2+x+1
2917 x^11+x^9+x^8+x^6+x^5+x^2+1
2927 x^11+x^9+x^8+x^6+x^5+x^3+x^2+x+1
2941 x^11+x^9+x^8+x^6+x^5+x^4+x^3+x^2+1
3357 x^11+x^10+x^8+x^4+x^3+x^2+1
3367 x^11+x^10+x^8+x^5+x^2+x+1
3373 x^11+x^10+x^8+x^5+x^3+x^2+1
3393 x^11+x^10+x^8+x^6+1
3399 x^11+x^10+x^8+x^6+x^2+x+1
3413 x^11+x^10+x^8+x^6+x^4+x^2+1
3417 x^11+x^10+x^8+x^6+x^4+x^3+1
3427 x^11+x^10+x^8+x^6+x^5+x+1
3439 x^11+x^10+x^8+x^6+x^5+x^3+x^2+x+1
3441 x^11+x^10+x^8+x^6+x^5+x^4+1
3771 x^11+x^10+x^9+x^7+x^5+x^4+x^3+x+1
3791 x^11+x^10+x^9+x^7+x^6+x^3+x^2+x+1
3805 x^11+x^10+x^9+x^7+x^6+x^4+x^3+x^2+1
3827 x^11+x^10+x^9+x^7+x^6+x^5+x^4+x+1
3833 x^11+x^10+x^9+x^7+x^6+x^5+x^4+x^3+1
4051 x^11+x^10+x^9+x^8+x^7+x^6+x^4+x+1
4069 x^11+x^10+x^9+x^8+x^7+x^6+x^5+x^2+1
4073 x^11+x^10+x^9+x^8+x^7+x^6+x^5+x^3+1
[b'2053', b'2071', b'2149', b'2255', b'2091', b'2363', b'2257', b'2161', b'2093', b'2365', b'2171', b'2273', b'2373', b'2279', b'2119', b'2377', b'2189', b'2283', b'2385', b'2197', b'2293', b'2395', b'2147', b'2207', b'2317', b'2217', b'2323', b'2475', b'2225', b'2341', b'2477', b'2345', b'2489', b'2551', b'2657', b'2561', b'2503', b'2669', b'2567', b'2681', b'2521', b'2687', b'2579', b'2533', b'2693', b'2581', b'2705', b'2419', b'2601', b'2421', b'2717', b'2431', b'2773', b'2727', b'2435', b'2731', b'2783', b'2633', b'2447', b'2739', b'2793', b'2741', b'2799', b'2951', b'2801', b'2955', b'3053', b'2867', b'2811', b'2963', b'2879', b'2819', b'2965', b'3083', b'2881', b'2825', b'3085', b'2891', b'2833', b'2991', b'3097', b'2905', b'2999', b'2911', b'3159', b'2917', b'3005', b'3103', b'3169', b'2927', b'3179', b'3017', b'3187', b'2941', b'3035', b'3251', b'3037', b'3205', b'3357', b'3209', b'3263', b'3047', b'3367', b'3271', b'3223', b'3277', b'3227', b'3373', b'3229', b'3283', b'3475', b'3285', b'3393', b'3487', b'3299', b'3399', b'3553', b'3305', b'3559', b'3497', b'3413', b'3319', b'3417', b'3573', b'3515', b'3331', b'3427', b'3517', b'3589', b'3343', b'3439', b'3529', b'3441', b'3655', b'3613', b'3543', b'3659', b'3617', b'3547', b'3623', b'3669', b'3771', b'3627', b'3851', b'3679', b'3635', b'3791', b'3865', b'3641', b'3697', b'3805', b'3707', b'3949', b'3889', b'3709', b'3957', b'3895', b'3827', b'3713', b'3833', b'3971', b'3731', b'3985', b'3933', b'3743', b'4051', b'3991', b'3747', b'3995', b'3947', b'4069', b'4007', b'4073', b'4013', b'4021', b'4045']
Done

real	0m0.117s
user	0m0.188s
sys	0m0.025s
