Starting up
2255 x^11+x^7+x^6+x^3+x^2+x+1
2257 x^11+x^7+x^6+x^4+1
2273 x^11+x^7+x^6+x^5+1
2279 x^11+x^7+x^6+x^5+x^2+x+1
2283 x^11+x^7+x^6+x^5+x^3+x+1
2293 x^11+x^7+x^6+x^5+x^4+x^2+1
2317 x^11+x^8+x^3+x^2+1
2323 x^11+x^8+x^4+x+1
2341 x^11+x^8+x^5+x^2+1
2345 x^11+x^8+x^5+x^3+1
2657 x^11+x^9+x^6+x^5+1
2669 x^11+x^9+x^6+x^5+x^3+x^2+1
2681 x^11+x^9+x^6+x^5+x^4+x^3+1
2687 x^11+x^9+x^6+x^5+x^4+x^3+x^2+x+1
2693 x^11+x^9+x^7+x^2+1
2705 x^11+x^9+x^7+x^4+1
2717 x^11+x^9+x^7+x^4+x^3+x^2+1
2727 x^11+x^9+x^7+x^5+x^2+x+1
2731 x^11+x^9+x^7+x^5+x^3+x+1
2739 x^11+x^9+x^7+x^5+x^4+x+1
2741 x^11+x^9+x^7+x^5+x^4+x^2+1
3053 x^11+x^9+x^8+x^7+x^6+x^5+x^3+x^2+1
3083 x^11+x^10+x^3+x+1
3085 x^11+x^10+x^3+x^2+1
3097 x^11+x^10+x^4+x^3+1
3103 x^11+x^10+x^4+x^3+x^2+x+1
3251 x^11+x^10+x^7+x^5+x^4+x+1
3263 x^11+x^10+x^7+x^5+x^4+x^3+x^2+x+1
3271 x^11+x^10+x^7+x^6+x^2+x+1
3277 x^11+x^10+x^7+x^6+x^3+x^2+1
3283 x^11+x^10+x^7+x^6+x^4+x+1
3285 x^11+x^10+x^7+x^6+x^4+x^2+1
3299 x^11+x^10+x^7+x^6+x^5+x+1
3305 x^11+x^10+x^7+x^6+x^5+x^3+1
3319 x^11+x^10+x^7+x^6+x^5+x^4+x^2+x+1
3331 x^11+x^10+x^8+x+1
3343 x^11+x^10+x^8+x^3+x^2+x+1
3655 x^11+x^10+x^9+x^6+x^2+x+1
3659 x^11+x^10+x^9+x^6+x^3+x+1
3669 x^11+x^10+x^9+x^6+x^4+x^2+1
3679 x^11+x^10+x^9+x^6+x^4+x^3+x^2+x+1
3697 x^11+x^10+x^9+x^6+x^5+x^4+1
3707 x^11+x^10+x^9+x^6+x^5+x^4+x^3+x+1
3709 x^11+x^10+x^9+x^6+x^5+x^4+x^3+x^2+1
3713 x^11+x^10+x^9+x^7+1
3731 x^11+x^10+x^9+x^7+x^4+x+1
3743 x^11+x^10+x^9+x^7+x^4+x^3+x^2+x+1
3747 x^11+x^10+x^9+x^7+x^5+x+1
2149 x^11+x^6+x^5+x^2+1
2161 x^11+x^6+x^5+x^4+1
2171 x^11+x^6+x^5+x^4+x^3+x+1
2189 x^11+x^7+x^3+x^2+1
2197 x^11+x^7+x^4+x^2+1
2207 x^11+x^7+x^4+x^3+x^2+x+1
2217 x^11+x^7+x^5+x^3+1
2225 x^11+x^7+x^5+x^4+1
2551 x^11+x^8+x^7+x^6+x^5+x^4+x^2+x+1
2561 x^11+x^9+1
2567 x^11+x^9+x^2+x+1
2579 x^11+x^9+x^4+x+1
2581 x^11+x^9+x^4+x^2+1
2601 x^11+x^9+x^5+x^3+1
2633 x^11+x^9+x^6+x^3+1
2951 x^11+x^9+x^8+x^7+x^2+x+1
2955 x^11+x^9+x^8+x^7+x^3+x+1
2963 x^11+x^9+x^8+x^7+x^4+x+1
2965 x^11+x^9+x^8+x^7+x^4+x^2+1
2991 x^11+x^9+x^8+x^7+x^5+x^3+x^2+x+1
2999 x^11+x^9+x^8+x^7+x^5+x^4+x^2+x+1
3005 x^11+x^9+x^8+x^7+x^5+x^4+x^3+x^2+1
3017 x^11+x^9+x^8+x^7+x^6+x^3+1
3035 x^11+x^9+x^8+x^7+x^6+x^4+x^3+x+1
3037 x^11+x^9+x^8+x^7+x^6+x^4+x^3+x^2+1
3047 x^11+x^9+x^8+x^7+x^6+x^5+x^2+x+1
3475 x^11+x^10+x^8+x^7+x^4+x+1
3487 x^11+x^10+x^8+x^7+x^4+x^3+x^2+x+1
3497 x^11+x^10+x^8+x^7+x^5+x^3+1
3515 x^11+x^10+x^8+x^7+x^5+x^4+x^3+x+1
3517 x^11+x^10+x^8+x^7+x^5+x^4+x^3+x^2+1
3529 x^11+x^10+x^8+x^7+x^6+x^3+1
3543 x^11+x^10+x^8+x^7+x^6+x^4+x^2+x+1
3547 x^11+x^10+x^8+x^7+x^6+x^4+x^3+x+1
3851 x^11+x^10+x^9+x^8+x^3+x+1
3865 x^11+x^10+x^9+x^8+x^4+x^3+1
3889 x^11+x^10+x^9+x^8+x^5+x^4+1
3895 x^11+x^10+x^9+x^8+x^5+x^4+x^2+x+1
3933 x^11+x^10+x^9+x^8+x^6+x^4+x^3+x^2+1
3947 x^11+x^10+x^9+x^8+x^6+x^5+x^3+x+1
